frame,start,end
38,23114,23121
99,23122,23129
42,23129,23136
35,23137,23144
15,23144,23152
55,23152,23159
11,23160,23167
15,23167,23174
27,23175,23182
24,23182,23189
17,23190,23197
15,23197,23204
91,23205,23212
63,23212,23219
100,23220,23227
24,23227,23234
94,23235,23242
46,23242,23249
71,23250,23257
23,23257,23264
48,23265,23272
63,23272,23279
109,23280,23287
1,23287,23294
15,23295,23302
94,23303,23310
58,23310,23317
94,23318,23325
82,23325,23332
81,23333,23340
13,23340,23347
26,23348,23355
64,23355,23362
84,23363,23370
13,23370,23377
14,23378,23385
28,23385,23392
70,23393,23400
33,23400,23407
28,23408,23415
53,23415,23422
100,23423,23430
116,23430,23437
30,23438,23445
74,23445,23453
74,23453,23460
87,23461,23468
83,23468,23475
59,23476,23483
90,23483,23490
101,23491,23498
109,23498,23505
9,23506,23513
7,23513,23520
5,23521,23528
61,23528,23535
64,23536,23543
27,23543,23550
27,23551,23558
17,23558,23565
91,23566,23573
63,23573,23580
53,23581,23588
37,23588,23595
93,23596,23603
41,23604,23611
39,23611,23618
61,23619,23626
18,23626,23633
29,23634,23641
19,23641,23648
33,23649,23656
59,23656,23663
3,23664,23671
25,23671,23678
49,23679,23686
79,23686,23693
39,23694,23701
80,23701,23708
10,23709,23716
65,23716,23723
112,23724,23731
113,23731,23738
26,23739,23746
86,23746,23753
117,23754,23761
17,23762,23769
44,23769,23776
52,23777,23784
113,23784,23791
2,23792,23799
73,23799,23806
85,23807,23814
60,23814,23821
88,23822,23829
42,23829,23836
105,23837,23844
92,23844,23851
32,23852,23859
100,23859,23866
27,23867,23874
42,23874,23881
23,23882,23889
45,23889,23896
85,23897,23904
69,23904,23912
117,23912,23919
113,23920,23927
87,23927,23934
91,23935,23942
22,23942,23949
68,23950,23957
52,23957,23964
71,23965,23972
61,23972,23979
110,23980,23987
61,23987,23994
42,23995,24002
44,24002,24009
-1,24010,24017
110,24017,24024
112,24025,24032
25,24032,24039
36,24040,24047
24,24047,24054
45,24055,24062
58,24063,24070
96,24070,24077
45,24078,24085
30,24085,24092
97,24093,24100
96,24100,24107
89,24108,24115
14,24115,24122
87,24123,24130
79,24130,24137
18,24138,24145
35,24145,24152
97,24153,24160
101,24160,24167
113,24168,24175
47,24175,24182
46,24183,24190
47,24190,24197
87,24198,24205
62,24205,24213
114,24213,24220
19,24221,24228
13,24228,24235
41,24236,24243
59,24243,24250
54,24251,24258
51,24258,24265
36,24266,24273
81,24273,24280
52,24281,24288
51,24288,24295
94,24296,24303
91,24303,24310
29,24311,24318
16,24318,24325
12,24326,24333
81,24333,24340
83,24341,24348
112,24348,24355
70,24356,24363
117,24364,24371
99,24371,24378
2,24379,24386
67,24386,24393
70,24394,24401
37,24401,24408
23,24409,24416
32,24416,24423
88,24424,24431
113,24431,24438
29,24439,24446
33,24446,24453
8,24454,24461
44,24461,24468
104,24469,24476
114,24476,24483
37,24484,24491
22,24491,24498
55,24499,24506
100,24506,24514
36,24514,24521
92,24522,24529
72,24529,24536
11,24537,24544
90,24544,24551
31,24552,24559
117,24559,24566
0,24567,24574
70,24574,24581
40,24582,24589
73,24589,24596
24,24597,24604
85,24604,24611
51,24612,24619
35,24619,24626
102,24627,24634
107,24634,24641
18,24642,24649
92,24649,24656
38,24657,24664
85,24665,24672
35,24672,24679
71,24680,24687
71,24687,24694
58,24695,24702
50,24702,24709
82,24710,24717
81,24717,24724
16,24725,24732
6,24732,24739
44,24740,24747
39,24747,24754
-1,24755,24762
12,24762,24769
94,24770,24777
57,24777,24784
63,24785,24792
-1,24792,24799
39,24800,24807
7,24807,24814
116,24815,24822
74,24823,24830
25,24830,24837
94,24838,24845
1,24845,24852
0,24853,24860
0,24860,24867
92,24868,24875
71,24875,24882
21,24883,24890
109,24890,24897
105,24898,24905
26,24905,24912
12,24913,24920
70,24920,24927
90,24928,24935
10,24935,24942
29,24943,24950
35,24950,24957
39,24958,24965
17,24965,24973
37,24973,24980
3,24981,24988
43,24988,24995
84,24996,25003
14,25003,25010
44,25011,25018
8,25018,25025
30,25026,25033
95,25033,25040
104,25041,25048
92,25048,25055
8,25056,25063
64,25063,25070
9,25071,25078
1,25078,25085
67,25086,25093
19,25093,25100
4,25101,25108
11,25108,25115
58,25116,25123
97,25124,25131
34,25131,25138
6,25139,25146
8,25146,25153
110,25154,25161
53,25161,25168
59,25169,25176
32,25176,25183
31,25184,25191
25,25191,25198
3,25199,25206
106,25206,25213
60,25214,25221
68,25221,25228
89,25229,25236
69,25236,25243
72,25244,25251
47,25251,25258
66,25259,25266
11,25266,25274
31,25274,25281
65,25282,25289
60,25289,25296
1,25297,25304
4,25304,25311
51,25312,25319
76,25319,25326
-1,25327,25334
88,25334,25341
53,25342,25349
90,25349,25356
112,25357,25364
81,25364,25371
90,25372,25379
80,25379,25386
109,25387,25394
68,25394,25401
101,25402,25409
48,25409,25416
43,25417,25424
62,25425,25432
2,25432,25439
15,25440,25447
113,25447,25454
60,25455,25462
22,25462,25469
30,25470,25477
64,25477,25484
113,25485,25492
41,25492,25499
60,25500,25507
69,25507,25514
10,25515,25522
48,25522,25529
50,25530,25537
80,25537,25544
99,25545,25552
4,25552,25559
99,25560,25567
61,25567,25575
16,25575,25582
111,25583,25590
55,25590,25597
3,25598,25605
102,25605,25612
3,25613,25620
18,25620,25627
37,25628,25635
69,25635,25642
79,25643,25650
67,25650,25657
31,25658,25665
30,25665,25672
24,25673,25680
41,25680,25687
75,25688,25695
42,25695,25702
52,25703,25710
65,25710,25717
72,25718,25725
98,25726,25733
40,25733,25740
71,25741,25748
21,25748,25755
59,25756,25763
35,25763,25770
115,25771,25778
5,25778,25785
68,25786,25793
19,25793,25800
101,25801,25808
46,25808,25815
54,25816,25823
20,25823,25830
93,25831,25838
17,25838,25845
34,25846,25853
116,25853,25860
37,25861,25868
51,25868,25876
103,25876,25883
77,25884,25891
10,25891,25898
75,25899,25906
76,25906,25913
40,25914,25921
21,25921,25928
50,25929,25936
73,25936,25943
58,25944,25951
38,25951,25958
55,25959,25966
116,25966,25973
10,25974,25981
31,25981,25988
82,25989,25996
41,25996,26003
90,26004,26011
117,26011,26018
90,26019,26026
45,26026,26034
112,26034,26041
1,26042,26049
32,26049,26056
111,26057,26064
63,26064,26071
4,26072,26079
36,26079,26086
19,26087,26094
112,26094,26101
16,26102,26109
62,26109,26116
116,26117,26124
75,26124,26131
0,26132,26139
20,26139,26146
82,26147,26154
30,26154,26161
13,26162,26169
103,26169,26176
41,26177,26184
86,26185,26192
74,26192,26199
56,26200,26207
0,26207,26214
85,26215,26222
79,26222,26229
73,26230,26237
93,26237,26244
52,26245,26252
27,26252,26259
63,26260,26267
54,26267,26274
75,26275,26282
22,26282,26289
72,26290,26297
83,26297,26304
7,26305,26312
22,26312,26319
36,26320,26327
88,26327,26335
38,26335,26342
10,26343,26350
88,26350,26357
75,26358,26365
77,26365,26372
52,26373,26380
29,26380,26387
11,26388,26395
85,26395,26402
52,26403,26410
66,26410,26417
36,26418,26425
77,26425,26432
88,26433,26440
26,26440,26447
65,26448,26455
91,26455,26462
112,26463,26470
79,26470,26477
90,26478,26485
114,26486,26493
16,26493,26500
7,26501,26508
61,26508,26515
64,26516,26523
64,26523,26530
20,26531,26538
105,26538,26545
101,26546,26553
87,26553,26560
113,26561,26568
69,26568,26575
1,26576,26583
9,26583,26590
69,26591,26598
90,26598,26605
